"Name","PCA_PC1","PCA_PC2","PCA_PC3","PTModel_a","PTModel_b","PTModel_c","Ro16_DTF","Ro17_DTF","Su16_DTF","Su17_DTF","Su18_DTF","Us18_DTF","In16_DTF","In17_DTF","Ba16_DTF","Ba17_DTF","Ne16_DTF","Ne17_DTF","Mo16_DTF","Mo17_DTF","Sp16_DTF","Sp17_DTF","It16_DTF","It17_DTF","Su17_Tf","Ba17_Tf","It17_Tf","Su17_Tb","Ba17_Tb","It17_Tb","Su17_Pf","Ba17_Pf","It17_Pf","Su17_Pc","Ba17_Pc","It17_Pc"
"X3156.11_AGL",5.62048372566636,4.4241223530683,0.560729505173675,-0.0138803729777879,0.000356250257589655,0.00158730410706612,54.3333333333333,52.6666666666667,59,60.6666666666667,54.6666666666667,71.5,NA,NA,90.6666666666667,88,122.333333333333,125.333333333333,129.333333333333,127,120,130.333333333333,134,145.666666666667,2984.5,2735.5,2935.3,-32.7725325027685,-10.049037505716,-9.15792005485117,668.1,623,651.2,5.22095539017282,3.87433155418416,6.23092326716431
"CDC_Asterix_AGL",3.54448236194707,0.440814288712303,0.0751601069104444,-0.0187716662822634,0.000337218421340274,0.00204558652125348,47,48.6666666666667,53.6666666666667,54.6666666666667,48,61,NA,77.5,NA,92.3333333333333,123,128,130,123.666666666667,123.666666666667,133,136.666666666667,144.333333333333,3190.13333333333,2993.83333333333,3000.2,-41.9973400433751,-11.0604439600329,-9.84723234892149,524.7,495.666666666667,481.466666666667,6.58849524436764,5.59938502731272,7.33032790715883
"CDC_Cherie_AGL",1.60541961735283,1.4005642361084,0.721149977077666,-0.0174208378413679,0.000394818141746095,0.00190886594317692,49,47.6666666666667,51,54.3333333333333,47.6666666666667,61,NA,67.3333333333333,97.5,87,122.5,125.333333333333,121,117,112.333333333333,122.666666666667,126.333333333333,136.666666666667,2713.4,2612.26666666667,2541,-33.7165455085428,-9.05907595269107,-8.09211636226551,560.633333333333,548.2,507.9,5.87898435511775,4.63798109926103,6.8097367970103
"CDC_Glamis_AGL",3.41720812576708,2.98954645180697,0.26551015308113,-0.01561627916672,0.00038250619332076,0.00173496043070313,52,50,56,59,50,63.3333333333333,NA,76,83.6666666666667,84,127,123,128,120.666666666667,115,128.333333333333,131,141,2860.96666666667,2501.9,2663,-32.1996976327963,-9.06726644320244,-8.16011227890465,630.333333333333,563.3,575.266666666667,5.5395683737231,4.21675021642689,6.53168199169526
"CDC_Gold_AGL",3.40421804727935,0.917123114654413,0.00122145215633442,-0.0181937958037976,0.000414708187995799,0.00191209477656577,49.5,51,54,54,47,58.5,NA,73,NA,86,125,125.333333333333,129.666666666667,125.666666666667,118.333333333333,129.333333333333,139.666666666667,147.666666666667,2509.9,2381.46666666667,2510.66666666667,-30.3609392420264,-6.84637251110805,-5.92423263930734,544.466666666667,526.433333333333,538.433333333333,6.10998858186656,4.80866756029888,7.08597934804233
"CDC_Greenstar_AGL",2.07983342535076,3.09109401471844,0.457309961248602,-0.0154056470321614,0.000429344832951,0.00168912844577084,50.6666666666667,50.6666666666667,56,56.6666666666667,50,59.6666666666667,NA,68,85.6666666666667,80.3333333333333,118,121,119.666666666667,116.333333333333,111,124,129.333333333333,138.666666666667,2468.13333333333,2234.63333333333,2382.8,-27.4588629929887,-7.39444294577121,-6.60760294391954,628.566666666667,586.5,595.5,5.12982489669483,3.60473720774149,6.27364066340984
"CDC_Imax_AGL",2.34140193606314,-0.283278141845045,1.03328561510757,-0.0194152400169632,0.000279758748490445,0.00218850274315379,46.6666666666667,46.3333333333333,53,53,46,57.3333333333333,83,NA,NA,93,123.333333333333,128.666666666667,127.333333333333,120.666666666667,118.666666666667,126.666666666667,129.333333333333,138.666666666667,3877.36666666667,3544.9,3569.9,-56.5474868370493,-16.6510973575062,-15.0865330641908,493.3,452.85,432.2,6.86452311410583,6.09753641683364,7.43976313705998
"CDC_Impower_AGL",2.67463170075799,1.77423026062778,-0.530561602977272,-0.0175066489321135,0.000382788043520127,0.00190004378252379,48.3333333333333,48.6666666666667,54.3333333333333,57,48.3333333333333,61,NA,70,84,87.6666666666667,118,123.333333333333,128.333333333333,122.333333333333,116.666666666667,129.333333333333,134.666666666667,143.333333333333,2873.76666666667,2617.06666666667,2684.33333333333,-34.1809421375816,-8.86608851321068,-7.87334915539222,578.9,534.933333333333,529.533333333333,6.05084827759939,4.84207178400193,6.95743064779749
"CDC_KR.1_AGL",1.53117653664273,4.1113006061086,-0.802031402395143,-0.0150687008495716,0.000588140365103193,0.00149319213192524,50.3333333333333,49.6666666666667,55.6666666666667,57,49.6666666666667,67.3333333333333,68.3333333333333,58.3333333333333,73,75,120.666666666667,121.666666666667,119,117.333333333333,111.666666666667,125.333333333333,130.666666666667,134.666666666667,1776.06666666667,1682.96666666667,1635.3,-15.2543389414373,-2.30627360760734,-1.79850633961401,703.233333333333,701.9,649.066666666667,3.90766666438851,1.54437923796117,5.68013223420902
"CDC_LeMay_AGL",2.69891391282244,2.07712954475147,-0.219760317112154,-0.0170372373519495,0.00035474807515231,0.00189527390276896,49.6666666666667,48.6666666666667,53.6666666666667,55.6666666666667,48,65.6666666666667,81,76,84.6666666666667,86,117,126.666666666667,127.333333333333,120,117,128.666666666667,129.666666666667,142,3021.8,2721.16666666667,2908.63333333333,-37.9894167906185,-10.7422022709296,-9.67368405447124,565.1,516.033333333333,530.133333333333,6.05067824513605,4.92762766769488,6.89296617821692
